,Time,Score
333,a week ago,4
334,a week ago,5
335,a week ago,5
336,a week ago,4
337,a week ago,5
338,a week ago,1
339,a week ago,4
340,a week ago,3
341,a week ago,5
342,a week ago,5
343,a week ago,4
344,a week ago,4
345,a week ago,5
346,a week ago,5
347,a week ago,5
348,a week ago,5
349,a week ago,2
350,a week ago,5
351,a week ago,5
352,a week ago,5
353,a week ago,4
354,a week ago,4
355,a week ago,1
356,a week ago,5
357,a week ago,5
358,a week ago,5
359,a week ago,5
360,a week ago,5
361,a week ago,5
362,a week ago,5
363,a week ago,5
364,a week ago,5
365,a week ago,5
366,2 weeks ago,3
367,2 weeks ago,4
368,2 weeks ago,1
369,2 weeks ago,5
370,2 weeks ago,5
371,2 weeks ago,5
372,2 weeks ago,2
373,2 weeks ago,5
374,2 weeks ago,5
375,2 weeks ago,5
376,2 weeks ago,5
377,2 weeks ago,5
378,2 weeks ago,4
379,2 weeks ago,1
380,2 weeks ago,5
381,2 weeks ago,5
382,2 weeks ago,5
383,2 weeks ago,5
384,2 weeks ago,4
385,2 weeks ago,5
386,2 weeks ago,2
387,2 weeks ago,4
388,2 weeks ago,5
389,2 weeks ago,5
390,2 weeks ago,5
391,2 weeks ago,5
392,2 weeks ago,5
393,2 weeks ago,3
394,2 weeks ago,5
395,2 weeks ago,5
396,2 weeks ago,3
397,2 weeks ago,4
398,2 weeks ago,3
399,2 weeks ago,5
400,2 weeks ago,5
401,2 weeks ago,3
402,2 weeks ago,5
403,2 weeks ago,5
404,2 weeks ago,5
405,2 weeks ago,5
406,2 weeks ago,5
407,2 weeks ago,5
408,2 weeks ago,5
409,2 weeks ago,4
410,2 weeks ago,5
411,2 weeks ago,5
412,2 weeks ago,2
413,2 weeks ago,4
414,2 weeks ago,5
415,2 weeks ago,4
416,2 weeks ago,4
417,2 weeks ago,4
418,2 weeks ago,5
419,2 weeks ago,5
420,2 weeks ago,5
421,2 weeks ago,5
422,2 weeks ago,4
423,2 weeks ago,5
424,2 weeks ago,5
425,2 weeks ago,5
426,2 weeks ago,5
427,2 weeks ago,1
428,2 weeks ago,4
429,2 weeks ago,5
430,2 weeks ago,5
431,2 weeks ago,4
432,2 weeks ago,5
433,2 weeks ago,5
434,2 weeks ago,5
435,2 weeks ago,5
436,2 weeks ago,5
437,2 weeks ago,5
438,2 weeks ago,3
439,2 weeks ago,5
440,2 weeks ago,5
441,2 weeks ago,5
442,2 weeks ago,5
443,2 weeks ago,5
444,2 weeks ago,4
445,2 weeks ago,5
446,2 weeks ago,5
447,2 weeks ago,5
448,2 weeks ago,5
449,2 weeks ago,5
450,2 weeks ago,3
451,2 weeks ago,5
452,2 weeks ago,3
453,2 weeks ago,2
454,2 weeks ago,5
455,2 weeks ago,5
456,2 weeks ago,5
457,2 weeks ago,5
458,2 weeks ago,5
459,2 weeks ago,4
460,2 weeks ago,5
461,2 weeks ago,3
462,2 weeks ago,5
463,2 weeks ago,5
464,2 weeks ago,5
465,2 weeks ago,5
466,2 weeks ago,1
467,2 weeks ago,5
468,2 weeks ago,5
469,2 weeks ago,4
470,2 weeks ago,5
471,2 weeks ago,5
472,2 weeks ago,5
473,2 weeks ago,5
474,2 weeks ago,5
475,2 weeks ago,5
476,2 weeks ago,5
477,2 weeks ago,5
478,2 weeks ago,5
479,2 weeks ago,5
480,2 weeks ago,5
481,2 weeks ago,5
482,2 weeks ago,5
483,2 weeks ago,5
484,2 weeks ago,5
485,2 weeks ago,5
486,2 weeks ago,5
487,2 weeks ago,5
488,2 weeks ago,5
489,2 weeks ago,5
490,2 weeks ago,4
491,2 weeks ago,5
492,2 weeks ago,5
493,2 weeks ago,4
494,2 weeks ago,5
495,2 weeks ago,5
496,2 weeks ago,1
497,2 weeks ago,5
498,2 weeks ago,3
499,2 weeks ago,5
500,2 weeks ago,2
501,2 weeks ago,5
502,2 weeks ago,5
503,2 weeks ago,4
504,2 weeks ago,5
505,2 weeks ago,5
506,2 weeks ago,4
507,2 weeks ago,5
508,2 weeks ago,5
509,2 weeks ago,5
510,2 weeks ago,5
511,2 weeks ago,5
512,2 weeks ago,4
513,2 weeks ago,5
514,2 weeks ago,5
515,2 weeks ago,5
516,2 weeks ago,5
517,2 weeks ago,5
518,2 weeks ago,5
519,2 weeks ago,5
520,2 weeks ago,5
521,2 weeks ago,5
522,2 weeks ago,5
523,3 weeks ago,4
524,3 weeks ago,5
525,3 weeks ago,5
526,3 weeks ago,5
527,3 weeks ago,5
528,3 weeks ago,3
529,3 weeks ago,5
530,3 weeks ago,4
531,3 weeks ago,5
532,3 weeks ago,5
533,3 weeks ago,5
534,3 weeks ago,5
535,3 weeks ago,5
536,3 weeks ago,5
537,3 weeks ago,5
538,3 weeks ago,5
539,3 weeks ago,1
540,3 weeks ago,2
541,3 weeks ago,5
542,3 weeks ago,5
543,3 weeks ago,5
544,3 weeks ago,5
545,3 weeks ago,5
546,3 weeks ago,5
547,3 weeks ago,5
548,3 weeks ago,4
549,3 weeks ago,5
550,3 weeks ago,5
